Period,A Interest Due,A Interest Paid,A Interest Shortfall,A Principal Due,A Principal Paid,A Principal Shortfall,A Balance,A Cash Flow,B Interest Due,B Interest Paid,B Interest Shortfall,B Principal Due,B Principal Paid,B Principal Shortfall,B Balance,B Cash Flow,Cash Reserve
0,0,0,0,0,0,0,22683499.454199996,-22683499.454199996,0,0,0,0,0,0,5670874.863549999,-5670874.863549999,0,
1,245737.91075383328,245737.91075383328,0.0,309835.7972660266,309835.7972660266,0.0,22373663.65693397,555573.7080198599,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,38389.42818685784,
2,242381.35628345134,242381.35628345134,0.0,314102.5648280346,314102.5648280346,0.0,22059561.092105936,556483.9211114859,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,75868.64328208845,
3,238978.57849781433,238978.57849781433,0.0,318428.8563695992,318428.8563695992,0.0,21741132.235736337,557407.4348674135,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,112424.34462139191,
4,235528.93255381033,235528.93255381033,0.0,322815.5127222248,322815.5127222248,0.0,21418316.723014113,558344.4452760351,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,148043.03555207432,
5,232031.76449931957,232031.76449931957,0.0,327263.38673765253,327263.38673765253,0.0,21091053.33627646,559295.1512369721,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,182711.02052181895,
6,228486.411142995,228486.411142995,0.0,331773.3434616533,331773.3434616533,0.0,20759279.992814805,560259.7546046483,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,216414.40212388808,
7,224892.1999221604,224892.1999221604,0.0,336346.2603103602,336346.2603103602,0.0,20422933.732504446,561238.4602325206,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,249139.07809808519,
8,221248.44876879817,221248.44876879817,0.0,340983.02724918624,340983.02724918624,0.0,20081950.70525526,562231.4760179844,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,280870.7382868176,
9,217554.46597359865,217554.46597359865,0.0,345684.54697435285,345684.54697435285,0.0,19736266.158280905,563239.0129479514,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,311594.8615455832,
10,213809.55004804314,213809.55004804314,0.0,350451.73509707185,350451.73509707185,0.0,19385814.423183832,564261.285145115,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,341296.71260718687,
11,210012.9895844915,210012.9895844915,0.0,355285.5203304171,355285.5203304171,0.0,19030528.902853414,565298.5099149086,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,369961.3388989953,
12,206164.06311424533,206164.06311424533,0.0,360186.8446789446,360186.8446789446,0.0,18670342.05817447,566350.90779319,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,397573.56731252157,
13,202262.03896355676,202262.03896355676,0.0,365156.6636310641,365156.6636310641,0.0,18305185.394543406,567418.7025946209,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,424118.0009246189,
14,198306.17510755357,198306.17510755357,0.0,370195.946354239,370195.946354239,0.0,17934989.448189165,568502.1214617926,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,449579.01566954283,
15,194295.7190220493,194295.7190220493,0.0,375305.67589304433,375305.67589304433,0.0,17559683.77229612,569601.3949150937,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,473940.7569611666,
16,190229.907533208,190229.907533208,0.0,380486.84937010624,380486.84937010624,0.0,17179196.922926012,570716.7569033143,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,497187.13626457006,
17,186107.96666503182,186107.96666503182,0.0,385740.4781900084,385740.4781900084,0.0,16793456.444736004,571848.4448550402,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,519301.8276162473,
18,181929.11148464005,181929.11148464005,0.0,391067.5882461546,391067.5882461546,0.0,16402388.856489848,572996.6997307946,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,540268.2640921706,
19,177692.5459453067,177692.5459453067,0.0,396469.2201306789,396469.2201306789,0.0,16005919.63635917,574161.7660759856,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,560069.6342229021,
20,173397.46272722437,173397.46272722437,0.0,401946.4293474296,401946.4293474296,0.0,15603973.20701174,575343.892074654,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,578688.8783549657,
21,169043.04307596054,169043.04307596054,0.0,407500.2865280551,407500.2865280551,0.0,15196472.920483686,576543.3296040157,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,596108.6849576675,
22,164628.45663857326,164628.45663857326,0.0,413131.8776512716,413131.8776512716,0.0,14783341.042832414,577760.3342898448,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,612311.4868745399,
23,160152.86129735116,160152.86129735116,0.0,418842.30426533706,418842.30426533706,0.0,14364498.738567077,578995.1655626883,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,627279.4575185694,
24,155615.40300114334,155615.40300114334,0.0,424632.6837137818,424632.6837137818,0.0,13939866.054853294,580248.0867149251,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,640994.5070103621,
25,151015.21559424401,151015.21559424401,0.0,430504.1493644472,430504.1493644472,0.0,13509361.905488847,581519.3649586912,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,653438.2782583877,
26,146351.42064279583,146351.42064279583,0.0,436457.8508418881,436457.8508418881,0.0,13072904.05464696,582809.271484684,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,664592.1429804215,
27,141623.1272586754,141623.1272586754,0.0,442494.95426316664,442494.95426316664,0.0,12630409.100383792,584118.081521842,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,674437.1976652973,
28,136829.43192082443,136829.43192082443,0.0,448616.6424771174,448616.6424771174,0.0,12181792.457906675,585446.0743979418,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,682954.2594740726,
29,131969.41829398897,131969.41829398897,0.0,454824.1153071133,454824.1153071133,0.0,11726968.342599561,586793.5336011022,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,690123.8620796871,
30,127042.15704482858,127042.15704482858,0.0,461118.589797391,461118.589797391,0.0,11265849.75280217,588160.7468422195,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,695926.2514441848,
31,122046.70565535685,122046.70565535685,0.0,467501.3004629847,467501.3004629847,0.0,10798348.452339185,589548.0061183416,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,700341.3815325608,
32,116982.1082336745,116982.1082336745,0.0,473973.4995433383,473973.4995433383,0.0,10324374.952795846,590955.6077770129,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,703348.9099622655,
33,111847.39532195502,111847.39532195502,0.0,480536.45725962444,480536.45725962444,0.0,9843838.495536221,592383.8525815795,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,704928.1935874028,
34,106641.5837016424,106641.5837016424,0.0,487191.4620758464,487191.4620758464,0.0,9356647.033460375,593833.0457774887,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,705058.2840166307,
35,101363.67619582074,101363.67619582074,0.0,493939.8209637656,493939.8209637656,0.0,8862707.212496608,595303.4971595863,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,703717.9230637612,
36,96012.66146871325,96012.66146871325,0.0,500782.85967172316,500782.85967172316,0.0,8361924.352824885,596795.5211404364,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,700885.5381300426,
37,90587.51382226958,90587.51382226958,0.0,507721.92299739877,507721.92299739877,0.0,7854202.429827487,598309.4368196684,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,696539.2375170917,
38,85087.19298979778,85087.19298979778,0.0,514758.3750645867,514758.3750645867,0.0,7339444.054762901,599845.5680543844,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,690656.8056694244,
39,79510.64392659809,79510.64392659809,0.0,521893.5996040183,521893.5996040183,0.0,6817550.455158883,601404.2435306164,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,683215.6983455245,
40,73856.79659755457,73856.79659755457,0.0,529129.0002383246,529129.0002383246,0.0,6288421.454920558,602985.7968358792,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,674193.037716363,
41,68124.56576163939,68124.56576163939,0.0,536466.0007711638,536466.0007711638,0.0,5751955.454149394,604590.5665328032,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,663565.6073902774,
42,62312.85075328511,62312.85075328511,0.0,543906.0454806215,543906.0454806215,0.0,5208049.408668773,606218.8962339066,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,651309.8473630876,
43,56420.53526057838,56420.53526057838,0.0,551450.5994168982,551450.5994168982,0.0,4656598.809251875,607871.1346774766,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,637401.8488923277,
44,50446.487100228645,50446.487100228645,0.0,559101.148704379,559101.148704379,0.0,4097497.660547496,609547.6358046076,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,621817.3492944372,
45,44389.55798926454,44389.55798926454,0.0,566859.2008481427,566859.2008481427,0.0,3530638.459699353,611248.7588374072,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,604531.7266637472,
46,38248.58331340966,38248.58331340966,0.0,574726.2850449727,574726.2850449727,0.0,2955912.1746543804,612974.8683583824,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,585519.9945120801,
47,32022.38189208912,32022.38189208912,0.0,582703.9524989495,582703.9524989495,0.0,2373208.222155431,614726.3343910386,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,564756.7963277587,
48,25709.755740017168,25709.755740017168,0.0,590793.7767416546,590793.7767416546,0.0,1782414.4454137762,616503.5324816718,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,542216.4000528036,
49,19309.489825315908,19309.489825315908,0.0,598997.35395712,598997.35395712,0.0,1183417.0914566563,618306.8437824359,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,517872.6924770853,
50,12820.351824113777,12820.351824113777,0.0,607316.3033115243,607316.3033115243,0.0,576100.788145132,620136.6551356381,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,491699.17354816396,
51,6241.091871572263,6241.091871572263,0.0,566160.4670518419,566160.4670518419,0.0,9940.321093290113,572401.5589234142,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,463668.9505955513,
52,107.68681184397623,107.68681184397623,0.0,9940.321093290113,9940.321093290113,0.0,0,10048.007905134089,108691.76821804165,108691.76821804165,0.0,547487.401283147,547487.401283147,0.0,5123387.462266852,656179.1695011887,433903.51914244704,
53,0.0,0.0,0.0,0,0,0,0,0.0,98198.25969344801,98198.25969344801,0.0,541744.7622416584,541744.7622416584,0.0,4581642.700025193,639943.0219351064,406990.1621443853,
54,0.0,0.0,0.0,0,0,0,0,0.0,87814.81841714954,87814.81841714954,0.0,522994.81255254353,522994.81255254353,0.0,4058647.88747265,610809.6309696931,382924.96444945136,
55,0.0,0.0,0.0,0,0,0,0,0.0,77790.75117655913,77790.75117655913,0.0,496159.43421375204,496159.43421375204,0.0,3562488.453258898,573950.1853903112,361600.9065695192,
56,0.0,0.0,0.0,0,0,0,0,0.0,68281.02868746223,68281.02868746223,0.0,471408.7100378569,471408.7100378569,0.0,3091079.7432210413,539689.7387253192,342882.3068883818,
57,0.0,0.0,0.0,0,0,0,0,0.0,59245.69507840329,59245.69507840329,0.0,444633.87105955696,444633.87105955696,0.0,2646445.8721614843,503879.56613796024,326635.42700386245,
58,0.0,0.0,0.0,0,0,0,0,0.0,50723.54588309512,50723.54588309512,0.0,405383.41750171926,405383.41750171926,0.0,2241062.454659765,456106.9633848144,312721.7900500263,
59,0.0,0.0,0.0,0,0,0,0,0.0,42953.697047645495,42953.697047645495,0.0,367848.93576640286,367848.93576640286,0.0,1873213.5188933623,410802.6328140484,300941.07425545924,
60,0.0,0.0,0.0,0,0,0,0,0.0,35903.25911212278,35903.25911212278,0.0,334917.12986203935,334917.12986203935,0.0,1538296.389031323,370820.3889741621,291103.39471272274,
61,0.0,0.0,0.0,0,0,0,0,0.0,29484.014123100354,29484.014123100354,0.0,289788.1676607569,289788.1676607569,0.0,1248508.221370566,319272.1817838573,283026.5775084026,
62,0.0,0.0,0.0,0,0,0,0,0.0,23929.74090960251,23929.74090960251,0.0,245471.69844104885,245471.69844104885,0.0,1003036.5229295171,269401.43935065134,276475.3659986309,
63,0.0,0.0,0.0,0,0,0,0,0.0,19224.866689482413,19224.866689482413,0.0,207367.54288422756,207367.54288422756,0.0,795668.9800452895,226592.40957370997,271214.5637771137,
64,0.0,0.0,0.0,0,0,0,0,0.0,15250.322117534715,15250.322117534715,0.0,182193.2314904563,182193.2314904563,0.0,613475.7485548332,197443.55360799102,267049.923069619,
65,0.0,0.0,0.0,0,0,0,0,0.0,11758.285180634304,11758.285180634304,0.0,147422.97352490269,147422.97352490269,0.0,466052.7750299305,159181.25870553698,263843.11805291066,
66,0.0,0.0,0.0,0,0,0,0,0.0,8932.678188073669,8932.678188073669,0.0,126179.2836011081,126179.2836011081,0.0,339873.4914288224,135111.96178918178,261410.68824580804,
67,0.0,0.0,0.0,0,0,0,0,0.0,6514.24191905243,6514.24191905243,0.0,104595.47202394111,104595.47202394111,0.0,235278.01940488128,111109.71394299353,259644.2545717121,
68,0.0,0.0,0.0,0,0,0,0,0.0,4509.4953719268915,4509.4953719268915,0.0,85019.41599198902,85019.41599198902,0.0,150258.60341289226,89528.91136391592,258426.86391470255,
69,0.0,0.0,0.0,0,0,0,0,0.0,2879.956565413768,2879.956565413768,0.0,62367.671996958714,62367.671996958714,0.0,87890.93141593355,65247.62856237248,257646.05373455037,
70,0.0,0.0,0.0,0,0,0,0,0.0,1684.5761854720597,1684.5761854720597,0.0,52555.88084662288,52555.88084662288,0.0,35335.05056931067,54240.45703209494,257189.51890305238,
71,0.0,0.0,0.0,0,0,0,0,0.0,677.2551359117878,677.2551359117878,0.0,35335.05056931067,35335.05056931067,0.0,0,36012.305705222454,257003.98573319538,
